Year,Population
2009,828759.0
2010,850546.0
2011,879658.0
2012,905573.0
2013,929214.0
2014,952513.0
2015,976019.0
2016,998576.0
2017,1023811.0
2018,1048192.5
2019,1072574.0
2020,1096955.5
2021,1121337.0
2022,1145718.5
